Entry,Gene names,Protein names
P41318,LST8 YNL006W N2005,Target of rapamycin complex subunit LST8 (TORC subunit LST8) (Lethal with SEC13 protein 8)
P39014,MET30 YIL046W,F-box protein MET30 (E3 ubiquitin ligase complex SCF(Met30) subunit MET30) (Methionine-requiring protein 30)
Q96VH5,MIC10 MCS10 MIO10 MOS1 YCL057C-A,MICOS complex subunit MIC10 (Mitochondrial contact site complex 10 kDa subunit) (Mitochondrial inner membrane organization component of 10 kDa) (Mitochondrial organizing structure protein 1) (MitOS1)
P24720,MNE1 MNE YOR350C O6353,Protein MNE1
P53129,MON1 AUT12 YGL124C G2889,Vacuolar fusion protein MON1 (Autophagy-related protein 12) (Monensin sensitivity protein 1)
P38888,MNL1 HTM1 YHR204W,ER degradation-enhancing alpha-mannosidase-like protein 1 (EC 3.2.1.24)
P53944,MTQ1 YNL063W N2420 YNL2420W,Mitochondrial MRF1 N(5)-glutamine methyltransferase MTQ1 (EC 2.1.1.297)
Q02046,MTD1 YKR080W YKR400,Methylenetetrahydrofolate dehydrogenase [NAD(+)] (EC 1.5.1.15)
P36010,YNK1 NDK1 YNK YKL067W YKL333,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)
P47035,NET1 CFI1 ESC5 SRM8 YJL076W J1038,Nucleolar protein NET1
P40165,NNR1 YNL200C N1370,NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase) (Nicotinamide nucleotide repair protein 1)
P53397,OGG1 YML060W YM9958.02,N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]
Q3E770,PAU9 YBL108C-A,Seripauperin-9
P53297,PBP1 MRS16 YGR178C,PAB1-binding protein 1 (Poly(A)-binding protein-binding protein)
Q12252,PHM7 YOL084W 00953,Phosphate metabolism protein 7
Q12099,FAL1 YDR021W PZC399 YD9335.07,ATP-dependent RNA helicase FAL1 (EC 3.6.4.13) (Translation initiation factor four A-like protein 1)
P17214,EST1 YLR233C L8083.15,Telomere elongation protein EST1 (Ever shorter telomeres protein 1)
Q05670,FUS2 YMR232W YM9959.14,Nuclear fusion protein FUS2
P25659,FUB1 YCR076C YCR76C,Silencing boundary-establishment protein FUB1 (Function of boundary protein 1) (Proteasome inhibitor PI31-like protein FUB1)
P43577,GNA1 PAT1 YFL017C,Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)
Q04322,GYL1 APP2 YMR192W YM9646.04,Probable GTPase-activating protein GYL1 (GYP5-like protein 1)
P27472,GSY2 YLR258W L8479.8,Glycogen [starch] synthase isoform 2 (EC 2.4.1.11)
P16622,HEM15 YOR176W,"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)"
P53152,MMS2 YGL087C,Ubiquitin-conjugating enzyme variant MMS2 (UEV MMS2)
Q08970,MMT2 MFT2 YPL224C,Mitochondrial metal transporter 2
P00572,CDC8 YJR057W J1715,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
P32259,SIN4 BEL2 GAL22 MED16 RYE1 SDI3 SSF5 SSN4 TSF3 YNL236W N1135,Mediator of RNA polymerase II transcription subunit 16 (Global transcriptional regulator SIN4) (Mediator complex subunit 16) (SNF1 suppressor protein 4) (SWI4 suppressor protein 5) (Transcriptional silencing factor 3) (YGP1 expression regulatory protein 1)
P27705,MIG1 CAT4 SSN1 YGL035C,Regulatory protein MIG1 (Regulatory protein CAT4)
P26188,MGT1 YDL200C D1204,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (DNA repair MTase) (O-6-methylguanine-DNA-alkyltransferase)
P33767,WBP1 YEL002C,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 (Oligosaccharyl transferase subunit WBP1) (Oligosaccharyl transferase subunit beta)
P27514,PHO91 YNR013C N2052,Low-affinity phosphate transporter PHO91
Q06674,HIM1 YDR317W,Protein HIM1 (High induction of mutagenesis protein 1)
Q04431,KRE28 YDR532C,Spindle pole body component KRE28
P40070,LSM4 SDB23 USS1 YER112W,U6 snRNA-associated Sm-like protein LSm4
Q3E772,LSO2 YGR169C-A,Protein LSO2 (Late-annotated small open reading frame 2)
P33308,CSE2 MED9 YNR010W N2046,Mediator of RNA polymerase II transcription subunit 9 (Chromosome segregation protein 2) (Mediator complex subunit 9)
P38857,MPC2 YHR162W,Mitochondrial pyruvate carrier 2 (MPC2)
Q03920,MTQ2 MTC6 YDR140W,eRF1 methyltransferase catalytic subunit MTQ2 (eRF1 MTase catalytic subunit MTQ2) (EC 2.1.1.297) (N(5)-glutamine methyltransferase MTQ2)
P52920,NBP35 YGL091C,Cytosolic Fe-S cluster assembly factor NBP35 (Nucleotide-binding protein 35)
Q08689,NAT5 YOR253W,N-alpha-acetyltransferase NAT5 (NatA complex subunit NAT5) (EC 2.3.1.258)
P35729,NUP120 RAT2 YKL057C YKL313 YKL314,Nucleoporin NUP120 (Nuclear pore protein NUP120)
P53935,NST1 YNL091W N2231,Stress response protein NST1 (Negatively-affecting salt tolerance protein 1)
P40078,NSA2 YER126C SYGP-ORF47,Ribosome biogenesis protein NSA2 (NOP7-associated protein 2)
P10592,SSA2 YLL024C L0931,Heat shock protein SSA2
P0CS90,SSC1 ENS1 YJR045C J1639,"Import motor subunit, mitochondrial (EC 3.6.4.10) (Endonuclease SceI 75 kDa subunit) (Endo.SceI 75 kDa subunit) (mtHSP70)"
Q05931,SSQ1 SSC2 YLR369W,"Iron-sulfur cluster biogenesis chaperone, mitochondrial (EC 3.6.4.10) (Heat shock protein SSQ1, mitochondrial) (Stress-seventy subfamily Q protein 1) (mtHSP70 homolog)"
Q05164,HPF1 YOL155C AOF1001,Haze protective factor 1
P43579,IES1 YFL013C,Ino eighty subunit 1
P07342,ILV2 SMR1 YMR108W YM9718.07,"Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)"
Q03694,INP1 YMR204C YM8325.05C,Inheritance of peroxisomes protein 1
P50095,IMD3 YLR432W L9753.4,Inosine-5'-monophosphate dehydrogenase 3 (IMP dehydrogenase 3) (IMPD 3) (IMPDH 3) (EC 1.1.1.205)
P15700,URA6 SOC8 YKL024C,Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Suppressor of cdc8 protein) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
Q3E827,LSO1 YJR005C-A,Protein LSO1 (Late-annotated small open reading frame 1)
Q03667,MIX17 MIC17 YMR002W YM8270.04,Mitochondrial intermembrane space cysteine motif-containing protein MIX17 (Mitochondrial intermembrane space CX(n)C motif protein of 17 kDa)
P47822,SRB7 MED21 YDR308C D9740.17,Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNAPII complex component SRB7) (Suppressor of RNA polymerase B 7)
O75012,MRP10 YDL045W-A,"37S ribosomal protein MRP10, mitochondrial (Mitochondrial small ribosomal subunit protein mS37) (YmS-T)"
P0CX81,CUP1-2 MTH1 YHR055C,Copper metallothionein 1-2 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)
P53070,MTO1 IPS1 YGL236C,Mitochondrial translation optimization protein 1
Q00618,BET4 YJL031C J1254,Geranylgeranyl transferase type-2 subunit alpha (EC 2.5.1.60) (GGTase-II-alpha) (Geranylgeranyl transferase type II subunit alpha) (PGGT) (Type II protein geranyl-geranyltransferase subunit alpha) (YPT1/SEC4 proteins geranylgeranyltransferase subunit alpha)
Q07930,PML1 YLR016C L1591,Pre-mRNA leakage protein 1
P39002,FAA3 YIL009W,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Fatty acid activator 3) (Long-chain acyl-CoA synthetase 3)
Q02891,EEB1 YPL095C LPG13C,Medium-chain fatty acid ethyl ester synthase/esterase 1 (Alcohol O-acetyltransferase) (EC 2.3.1.84) (EC 3.1.1.-) (Ethyl ester biosynthesis protein 1)
Q08601,MCA1 YCA1 YOR197W,Metacaspase-1 (EC 3.4.22.-) [Cleaved into: Large subunit p20; Small subunit p10]
P53141,MLC1 YGL106W G3080,Myosin light chain 1 (Calmodulin-like myosin light chain MLC1) (Myosin-2 light chain)
Q05648,MRX10 YDR282C,MIOREX complex component 10 (Mitochondrial organization of gene expression protein 10)
P33751,PAD1 POF1 YDR538W,"Flavin prenyltransferase PAD1, mitochondrial (EC 2.5.1.129) (Phenylacrylic acid decarboxylase 1) (PAD)"
P04147,PAB1 YER165W,"Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)"
Q12163,NBP2 YDR162C,NAP1-binding protein 2
Q92317,NCB2 YDR1 YDR397C,Negative cofactor 2 complex subunit beta (NC2 complex subunit beta) (Transcriptional repressor YDR1)
P06102,NOT3 YIL038C,General negative regulator of transcription subunit 3
P46970,NMD5 KAP119 YJR132W J2112,Nonsense-mediated mRNA decay protein 5 (Karyopherin-119)
Q99220,YOS9 YDR057W D4222,Protein OS-9 homolog
P16547,OM45 YIL136W,Mitochondrial outer membrane protein OM45 (Outer membrane protein of 45 kDa)
Q12451,OSH2 YDL019C D2845,Oxysterol-binding protein homolog 2
P25693,PCL2 CLN4 YDL127W D2223,PHO85 cyclin-2 (Cyclin HCS26 homolog) (G1/S-specific cyclin PCL2)
P32521,PAN1 DIM2 MDP3 MIP3 YIR006C YIB6C,Actin cytoskeleton-regulatory complex protein PAN1 (Mitochondrial distribution of proteins protein 3)
P41811,SEC27 YGL137W G2827,Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP)
P40545,HIS6 YIL020C,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (5-proFAR isomerase) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
Q02783,MFM1 LPE10 YPL060W,Mitochondrial inner membrane magnesium transporter MFM1 (MRS2 function modulating factor 1)
P34072,MKS1 LYS80 YNL076W N2344 N2347,Negative regulator of RAS-cAMP pathway
Q99257,MEX67 YPL169C P2520,mRNA export factor MEX67
P38633,SOH1 MED31 YGL127C G2864,Mediator of RNA polymerase II transcription subunit 31 (Hpr1 suppressor protein 1) (Mediator complex subunit 31)
P25336,MSH3 YCR092C YCR1152 YCR92C,DNA mismatch repair protein MSH3 (Mismatch-binding protein) (MBP) (MutS protein homolog 3)
Q12093,SLM3 MTO2 MTU1 YDL033C D2761,Mitochondrial tRNA-specific 2-thiouridylase 1 (EC 2.8.1.14) (Mitochondrial translation optimization protein 2) (Synthetic lethal with MSS4 3)
P13712,MSI1 CAC3 YBR195C YBR1405,Chromatin assembly factor 1 subunit p50 (CAF-1 p50 subunit) (IRA1 multicopy suppressor) (Protein MSI1)
P40567,MSL1 YIR009W YIB9W,U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')
P49687,NUP145 RAT10 YGL092W,Nucleoporin NUP145 (EC 3.4.21.-) (Nuclear pore protein NUP145) [Cleaved into: Nucleoporin NUP145N (N-NUP145); Nucleoporin NUP145C (C-NUP145)]
Q12311,NTO1 YPR031W,NuA3 HAT complex component NTO1
P47095,MDE1 YJR024C J1545 YJR83.18,Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)
Q08229,NBA1 YOL070C,Protein NBA1 (NAP1 and bud neck-associated protein 1)
Q06504,NAT3 YPR131C,N-terminal acetyltransferase B complex catalytic subunit NAT3 (NatB complex subunit NAT3) (EC 2.3.1.254) (NatB Nalpha terminal acetyltransferase 3)
P32492,MYO4 SHE1 YAL029C FUN22,Myosin-4 (SWI5-dependent HO expression protein 1)
Q08208,NOP12 YOL041C,Nucleolar protein 12
P34217,PIN4 MDT1 YBL051C YBL0506 YBL0516,RNA-binding protein PIN4 (Psi inducibility protein 4)
P52867,PMT5 YDL093W D2399,Dolichyl-phosphate-mannose--protein mannosyltransferase 5 (EC 2.4.1.109)
P23287,CNA1 CMP1 YLR433C L9753.6,Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1) (Calmodulin-binding protein 1)
P42934,PMT6 YGR199W G7722,Dolichyl-phosphate-mannose--protein mannosyltransferase 6 (EC 2.4.1.109)
P14747,CMP2 CNA2 YML057W YM9958.05,Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)
P32494,NGG1 ADA3 SWI7 YDR176W YD9395.09,Chromatin-remodeling complexes subunit NGG1 (Transcriptional adapter 3)
P22211,NPR1 YNL183C N1631,Nitrogen permease reactivator protein (EC 2.7.11.1) (Serine/threonine-protein kinase NPR1)
P52960,PIP2 OAF2 YOR363C,Peroxisome proliferation transcriptional regulator (Oleate-activated transcription factor 2)
Q06892,POS5 YPL188W,"NADH kinase POS5, mitochondrial (EC 2.7.1.86)"
Q03178,PIR1 CCW6 YKL164C YKL618,Cell wall mannoprotein PIR1 (Covalently-linked cell wall protein 6) (Protein with internal repeats 1)
Q03180,PIR3 CCW8 YKL163W YKL617,Cell wall mannoprotein PIR3 (Covalently-linked cell wall protein 8) (Protein with internal repeats 3)
Q08287,NOP8 YOL144W,60S ribosome subunit biogenesis protein NOP8 (Nucleolar protein 8)
P38693,PHO12 YHR215W,Acid phosphatase PHO12 (EC 3.1.3.2)
P52290,DIA3 YDL024C D2815,Probable acid phosphatase DIA3 (EC 3.1.3.2) (Digs into agar protein 3)
P25353,NPP1 YCR026C YCR246 YCR26C,Ectonucleotide pyrophosphatase/phosphodiesterase 1 (E-NPP 1) [Includes: Alkaline phosphodiesterase 1 (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]
P07271,PIF1 TST1 YML061C YM9958.01C,ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)
Q02892,NOG1 YPL093W LPG15W,Nucleolar GTP-binding protein 1
P43124,NSE4 QRI2 YDL105W D2354,Non-structural maintenance of chromosome element 4 (Non-SMC element 4) (Protein QRI2)
Q05541,NSE3 YDR288W,Non-structural maintenance of chromosome element 3 (Non-SMC element 3)
P38082,NRG2 YBR066C YBR0616,Probable transcriptional regulator NRG2
Q12390,GTT2 YLL060C L0560,Glutathione S-transferase 2 (EC 2.5.1.18) (GST-II)
P38217,KAP104 YBR017C YBR0224,Importin subunit beta-2 (Importin-104) (Karyopherin subunit beta-2) (Karyopherin-104) (Transportin) (TRN)
P38697,IMD2 PUR5 YHR216W,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)
Q06505,SPN1 IWS1 YPR133C,Transcription factor SPN1 (Interacts with SPT6 protein 1) (Suppresses postrecruitment functions protein 1)
Q04638,ITT1 YML068W,Translation termination inhibitor protein ITT1 (EC 2.3.2.31)
P53059,MNT2 YGL257C NRD558,"Alpha-1,3-mannosyltransferase MNT2 (EC 2.4.1.-)"
P40484,MOB1 YIL106W,DBF2 kinase activator protein MOB1 (MPS1 binder 1) (Maintenance of ploidy protein MOB1)
P25847,MSH2 YOL090W O0935,DNA mismatch repair protein MSH2 (MutS protein homolog 2)
P47083,MPP10 YJR002W J1411 YJR83.5,U3 small nucleolar RNA-associated protein MPP10 (U3 snoRNA-associated protein MPP10) (M phase phosphoprotein 10)
P25588,MRC1 YCL061C YCL61C/YCL60C,Mediator of replication checkpoint protein 1 (DNA replication checkpoint mediator MRC1)
P38860,MTG2 YHR168W,"GTPase MTG2, mitochondrial (Mitochondrial GTPase 2)"
P38236,MUM2 YBR057C YBR0514,Protein MUM2 (Muddled meiosis protein 2)
P53204,NMA2 YGR010W,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 (NMN/NaMN adenylyltransferase 2) (EC 2.7.7.1) (EC 2.7.7.18) (NAD(+) diphosphorylase 2) (NAD(+) pyrophosphorylase 2) (Nicotinamide-nucleotide adenylyltransferase 2) (NMN adenylyltransferase 2) (NMNAT 2) (Nicotinate-nucleotide adenylyltransferase 2) (NaMN adenylyltransferase 2) (NaMNAT 2)
Q07896,NOC3 YLR002C,Nucleolar complex-associated protein 3
Q12520,HUT1 MLF6 YPL244C,UDP-galactose transporter homolog 1 (Multicopy suppressor of leflunomide-sensitivity protein 6)
P54862,HXT11 LGT3 YOL156W AOB567 O0414,Hexose transporter HXT11 (Low-affinity glucose transporter LGT3)
P39924,HXT13 HXT8 YEL069C,Hexose transporter HXT13
P38954,IPT1 SYR4 YDR072C D4405 YD8554.05C,Inositolphosphotransferase 1 (EC 2.7.1.228) (Mannosyl diphosphorylinositol ceramide synthase)
P13134,KEX2 QDS1 YNL238W N1122,Kexin (EC 3.4.21.61) (Protease KEX2) (Proteinase YSCF)
P38691,KSP1 YHR082C,Serine/threonine-protein kinase KSP1 (EC 2.7.11.1)
Q12205,MNL2 YLR057W L2153,Putative endoplasmic reticulum mannosidase MNL2 (EC 3.2.1.-) (Mannosidase-like protein 2)
P33748,MSN2 YMR037C YM9532.02C,Zinc finger protein MSN2 (Multicopy suppressor of SNF1 protein 2)
Q03677,ADI1 YMR009W YM8270.12,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD) (Fe-ARD)"
P40460,NDC80 HEC1 TID3 YIL144W,Kinetochore protein NDC80 (80 kDa spindle component protein) (Nuclear division cycle protein 80) (Two-hybrid interaction with DMC1 protein 3)
P38181,NUP170 NLE3 YBL079W YBL0725,Nucleoporin NUP170 (Nuclear pore protein NUP170)
P38302,NTC20 SNT384 YBR188C YBR1316,Pre-mRNA-splicing factor NTC20 (PRP19-associated complex protein 20) (Synergistic to PRP19 mutation protein 384)
P38632,MMS21 NSE2 YEL019C,E3 SUMO-protein ligase MMS21 (EC 2.3.2.-) (E3 SUMO-protein transferase MMS21) (Methyl methanesulfonate-sensitivity protein 21) (Non-structural maintenance of chromosome element 2) (Non-SMC element 2)
P31755,OCH1 NGD29 YGL038C,"Initiation-specific alpha-1,6-mannosyltransferase (EC 2.4.1.232) (Outer chain elongation protein 1)"
Q06810,OPY2 YPR075C,Protein OPY2 (Overproduction-induced pheromone-resistant protein 2)
Q12518,ENT1 YDL161W,Epsin-1
P18851,STE4 YOR212W YOR50-2,Guanine nucleotide-binding protein subunit beta
Q04924,GTB1 YDR221W,Glucosidase 2 subunit beta (Alpha-glucosidase 2 subunit beta) (Alpha-glucosidase II subunit beta) (Glucosidase II subunit beta)
Q12320,GLO4 GER1 YOR040W O2758 OR26.33,"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)"
P32288,GLN1 YPR035W YP3085.01 YP9367.15,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase)
Q12438,GRX6 YDL010W D2890,Monothiol glutaredoxin-6
P39520,IFH1 RRP3 YLR223C L8083.9,Protein IFH1 (Ribosomal RNA-processing protein 3)
Q12425,ISA2 YPR067W YP9499.22,Iron-sulfur assembly protein 2
Q03036,IRC4 YDR540C,Uncharacterized protein IRC4 (Increased recombination centers protein 4)
P06245,TPK2 PKA2 YKR1 YPL203W,cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)
P33399,LHP1 LAH1 YLA1 YDL051W,La protein homolog (La autoantigen homolog) (La ribonucleoprotein)
Q12083,MLH3 YPL164C P2550,DNA mismatch repair protein MLH3 (MutL protein homolog 3)
P08536,MET3 YJR010W J1436,Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Methionine-requiring protein 3) (Sulfate adenylate transferase) (SAT)
Q03081,MET31 YPL038W P7102.12,Transcriptional regulator MET31 (Methionine-requiring protein 31)
Q03455,MSC2 YDR205W YD8142.02,Probable zinc transporter MSC2 (Meiotic sister chromatid recombination protein 2)
P40549,MNT3 YIL014W,"Alpha-1,3-mannosyltransferase MNT3 (EC 2.4.1.-)"
Q05812,MSC3 YLR219W,Meiotic sister-chromatid recombination protein 3
P32559,MSS1 PET53 YMR023C YM9711.13C,"tRNA modification GTPase MSS1, mitochondrial"
P0CY08,MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C,Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)
P52918,MSN5 YDR335W D9651.5,Protein MSN5
P40360,ARG2 YJL071W HRB574 J1091,"Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS)"
Q12207,NCE102 NCE2 RTG2S2 YPR149W P9659.2,Non-classical export protein 2
P38879,EGD2 YHR193C,Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (GAL4 DNA-binding enhancer protein 2)
P25382,RSA4 YCR072C YCR72C,Ribosome assembly protein 4 (Notchless protein homolog 1) (Ribosome biogenesis factor RSA4)
P11633,NHP6B NHPB YBR089C-A YBR090BC,Non-histone chromosomal protein 6B
P38769,NEL1 YHR035W,GTPase-activating protein NEL1 (Non-ERES-localized SEC23 homolog 1)
P32784,SCT1 GAT2 YBL011W YBL0309 YBL0315,Glycerol-3-phosphate O-acyltransferase 1 (G-3-P acyltransferase 1) (GPAT 1) (EC 2.3.1.15) (Dihydroxyacetone phosphate acyltransferase 1) (DHAP-AT 1) (EC 2.3.1.42) (Glycerol-3-phosphate / dihydroxyacetone phosphate acyltransferase 1) (Suppressor of choline-transport mutants 1)
P38970,HAL5 YJL165C J0531,Serine/threonine-protein kinase HAL5 (EC 2.7.11.1) (Halotolerance protein 5)
Q02516,HAP5 YOR358W,Transcriptional activator HAP5
P48239,GTO1 YGR154C G6664,Glutathione S-transferase omega-like 1 (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1)
Q12341,HAT1 YPL001W LPA16W YP8132.12,Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)
Q8TGJ3,KSH1 YNL024C-A,Protein kish
Q10740,LAP2 YNL045W N2535,Leucine aminopeptidase 2 (EC 3.4.11.-) (Epoxide hydrolase) (EC 3.3.2.10) (Leucyl aminopeptidase yscIV) (AP IV) (Leukotriene A-4 hydrolase homolog) (LTA-4 hydrolase)
P28321,YJU3 YKL094W YKL441,Monoglyceride lipase (MGL) (EC 3.1.1.23) (Fatty acid ethyl ester hydrolase) (FAEE hydrolase) (Monoacylglycerol hydrolase) (MAG hydrolase) (MGH) (Monoacylglycerol lipase) (MAG lipase) (MAGL) (Serine hydrolase YJU3)
P53919,NAF1 YNL124W N1888,H/ACA ribonucleoprotein complex non-core subunit NAF1 (Nuclear assembly factor 1)
P40064,NUP157 YER105C,Nucleoporin NUP157 (Nuclear pore protein NUP157)
P54791,ORC4 YPR162C P9325.5,Origin recognition complex subunit 4 (Origin recognition complex 56 kDa subunit)
Q9URQ5,HTL1 DRT1 YCR020W-B,High temperature lethal protein 1 (Chromatin structure-remodeling complex protein HTL1)
P46973,HIT1 YJR055W J1705,Protein HIT1
P39936,TIF4632 YGL049C,Eukaryotic initiation factor 4F subunit p130 (eIF-4F p130) (eIF4F p130) (eIF4G2) (mRNA cap-binding protein complex subunit p130)
Q06667,IPK1 GSL1 YDR315C,"Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)"
P40069,KAP123 YRB4 YER110C,Importin subunit beta-4 (Importin-123) (Karyopherin subunit beta-4) (Karyopherin-123) (Ran-binding protein YRB4)
P53067,KAP114 YGL241W HRC1004,Importin subunit beta-5 (114 kDa karyopherin) (Karyopherin subunit beta-5) (Karyopherin-114)
P32581,IME2 SME1 YJL106W J0817,Meiosis induction protein kinase IME2/SME1 (EC 2.7.11.1)
P22023,KRE5 YOR336W,Killer toxin-resistance protein 5
P40850,MKT1 YNL085W N2302,Post-transcriptional regulator MKT1 (Inactive endonuclease MKT1)
P38734,MUP3 YHL036W,Low-affinity methionine permease
P46151,MET12 YPL023C LPB8C,Methylenetetrahydrofolate reductase 1 (EC 1.5.1.20)
P50276,MUP1 YGR055W,High-affinity methionine permease
P42939,MVB12 YGR206W G7740,Multivesicular body sorting factor 12 (12 kDa multivesicular body sorting factor) (ESCRT-I complex subunit MVB12)
P38861,NMD3 YHR170W,60S ribosomal export protein NMD3 (Nonsense-mediated mRNA decay protein 3)
Q12202,OSW2 YLR054C L2141,Outer spore wall protein 2
Q12283,MCT1 YOR221C YOR50-11,"Malonyl CoA-acyl carrier protein transacylase, mitochondrial (MCT) (EC 2.3.1.39) (Malonyl-CoA:ACP transferase)"
P12385,SUP45 SAL4 SUP1 YBR143C YBR1120,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1)
P26793,RAD27 FEN1 RTH1 YKL113C YKL510,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1) (RAD2 homolog nuclease 1) (RTH1 nuclease) (Structure-specific endonuclease RAD27)
P07149,FAS1 YKL182W,Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]
P04386,GAL4 YPL248C,Regulatory protein GAL4
P38777,FSH1 YHR049W,Family of serine hydrolases 1 (EC 3.1.-.-)
Q12029,FSF1 YOR271C,Sideroflexin FSF1 (Fungal sideroflexin-1)
P38817,GGA2 YHR108W,"ADP-ribosylation factor-binding protein GGA2 (Golgi-localized, gamma ear-containing, ARF-binding protein 2)"
P38988,GGC1 SHM1 YHM1 YDL198C D1214,Mitochondrial GTP/GDP carrier protein 1
P32614,FRD1 FRDS FRDS1 YEL047C SYGP-ORF35,"Fumarate reductase 1 (FRDS1) (EC 1.3.1.6) (FAD-dependent oxidoreductase) (NADH-dependent fumarate reductase) (Soluble fumarate reductase, cytoplasmic isozyme)"
P25346,GIT1 YCR098C YCR137 YCR98C,Glycerophosphoinositol transporter 1
P48015,GCV1 YDR019C YD9335.05C,"Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT) (Glycine decarboxylase complex subunit T)"
P38068,GRX7 GRX6 YBR014C YBR0219,Monothiol glutaredoxin-7
Q05926,GRX8 YLR364W,Glutaredoxin-8 (Glutathione-dependent oxidoreductase 8)
P36156,ECM4 GTO2 YKR076W,Glutathione S-transferase omega-like 2 (EC 2.5.1.18) (Extracellular mutant protein 4) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1)
Q12175,MSH5 YDL154W D1542,MutS protein homolog 5
Q08484,GYP1 YOR070C YOR29-21,GTPase-activating protein GYP1 (GAP for YPT1)
Q03281,HEH2 YDR458C D8035.2,Inner nuclear membrane protein HEH2 (Helix-extension-helix domain-containing protein 2)
P47171,HIR3 HPC1 YJR140C J2161,Histone transcription regulator 3
